Pos,OnstreetName,FromStreet,ToStreetName,Shape.STLength()
"-73.93406195306481 40.802076922841316,-73.93408693365966 40.80203610309425,-73.9341346572272 40.80195466041451,-73.93415840967691 40.8019154077185,-73.9343290347829 40.801629600165306,-73.93434853931063 40.80159693215972,-73.9344300908633 40.80146034493242,-73.934454668435 40.801419179080995",2 AVENUE,EAST  123 STREET,EAST  124 STREET,263.15
"-73.93406195306481 40.802076922841316,-73.93357644845085 40.8027521805066",2 AVENUE,EAST  124 STREET,EAST  125 STREET,280.35
"-73.93406195306481 40.802076922841316,-73.93357644845085 40.8027521805066",2 AVENUE,EAST  124 STREET,EAST  125 STREET,280.35
"-73.98176150811346 40.74073311249583,-73.98131180575278 40.741350923371456",3 AVENUE,EAST   26 STREET,EAST   27 STREET,257.28
"-73.98176150811346 40.74073311249583,-73.98131180575278 40.741350923371456",3 AVENUE,EAST   26 STREET,EAST   27 STREET,257.28
"-73.98131180575278 40.741350923371456,-73.98085965460861 40.741969767614876",3 AVENUE,EAST   27 STREET,EAST   28 STREET,257.94
"-73.98131180575278 40.741350923371456,-73.98085965460861 40.741969767614876",3 AVENUE,EAST   27 STREET,EAST   28 STREET,257.94
"-73.98085965460861 40.741969767614876,-73.98040998065075 40.742587160635765",3 AVENUE,EAST   28 STREET,EAST   29 STREET,257.14
"-73.98085965460861 40.741969767614876,-73.98040998065075 40.742587160635765",3 AVENUE,EAST   28 STREET,EAST   29 STREET,257.14
"-73.97444451615814 40.75076469254376,-73.97395914684239 40.75144102042782",3 AVENUE,EAST   42 STREET,EAST   43 STREET,280.72
"-73.97444451615814 40.75076469254376,-73.97395914684239 40.75144102042782",3 AVENUE,EAST   42 STREET,EAST   43 STREET,280.72
"-73.97395914684239 40.75144102042782,-73.97350255844735 40.752064931686824",3 AVENUE,EAST   43 STREET,EAST   44 STREET,260.14
"-73.97395914684239 40.75144102042782,-73.97350255844735 40.752064931686824",3 AVENUE,EAST   43 STREET,EAST   44 STREET,260.14
"-73.97350255844735 40.752064931686824,-73.9730450260775 40.75269162252293",3 AVENUE,EAST   44 STREET,EAST   45 STREET,261.15
"-73.97350255844735 40.752064931686824,-73.9730450260775 40.75269162252293",3 AVENUE,EAST   44 STREET,EAST   45 STREET,261.15
"-73.9730450260775 40.75269162252293,-73.97258874996044 40.75331788764786",3 AVENUE,EAST   45 STREET,EAST   46 STREET,260.85
"-73.9730450260775 40.75269162252293,-73.97258874996044 40.75331788764786",3 AVENUE,EAST   45 STREET,EAST   46 STREET,260.85
"-73.97258874996044 40.75331788764786,-73.97213617329949 40.75394323419068",3 AVENUE,EAST   46 STREET,EAST   47 STREET,260.06
"-73.97258874996044 40.75331788764786,-73.97213617329949 40.75394323419068",3 AVENUE,EAST   46 STREET,EAST   47 STREET,260.06
"-73.97213617329949 40.75394323419068,-73.97167699177709 40.75456963086838",3 AVENUE,EAST   47 STREET,EAST   48 STREET,261.28
"-73.97213617329949 40.75394323419068,-73.97167699177709 40.75456963086838",3 AVENUE,EAST   47 STREET,EAST   48 STREET,261.28
"-73.97167699177709 40.75456963086838,-73.97121704489989 40.7551933239537",3 AVENUE,EAST   48 STREET,EAST   49 STREET,260.52
"-73.97167699177709 40.75456963086838,-73.97121704489989 40.7551933239537",3 AVENUE,EAST   48 STREET,EAST   49 STREET,260.52
"-73.96847979642754 40.75895012712825,-73.968024369245 40.759578139748584",3 AVENUE,EAST   55 STREET,EAST   56 STREET,261.29
"-73.96847979642754 40.75895012712825,-73.968024369245 40.759578139748584",3 AVENUE,EAST   55 STREET,EAST   56 STREET,261.29
"-73.96746215239719 40.76022290580835,-73.96792193526723 40.759593086665554,-73.968024369245 40.759578139748584",3 AVENUE,EAST   56 STREET,EAST   57 STREET,291.34
"-73.9669947197019 40.7609053832791,-73.96711291266077 40.76073281555928,-73.9671954653282 40.76061228583888,-73.96746215239719 40.76022290580835",3 AVENUE,EAST   57 STREET,EAST   58 STREET,280.35
"-73.9669947197019 40.7609053832791,-73.96711291266077 40.76073281555928,-73.9671954653282 40.76061228583888,-73.96746215239719 40.76022290580835",3 AVENUE,EAST   57 STREET,EAST   58 STREET,280.35
