Through,From,To,Distance
8 AVENUE,WEST   25 STREET,WEST   26 STREET,259.71
8 AVENUE,WEST   25 STREET,WEST   26 STREET,259.71
8 AVENUE,WEST   26 STREET,WEST   27 STREET,257.53
8 AVENUE,WEST   26 STREET,WEST   27 STREET,257.53
8 AVENUE,WEST   27 STREET,WEST   28 STREET,257.00
8 AVENUE,WEST   27 STREET,WEST   28 STREET,257.00
8 AVENUE,WEST   28 STREET,WEST   29 STREET,255.47
8 AVENUE,WEST   28 STREET,WEST   29 STREET,255.47
8 AVENUE,WEST   29 STREET,WEST   30 STREET,257.89
8 AVENUE,WEST   29 STREET,WEST   30 STREET,257.89
8 AVENUE,WEST   30 STREET,WEST   31 STREET,259.15
8 AVENUE,WEST   30 STREET,WEST   31 STREET,259.15
8 AVENUE,WEST   31 STREET,WEST   33 STREET,511.87
8 AVENUE,WEST   33 STREET,WEST   34 STREET,277.83
8 AVENUE,WEST   33 STREET,WEST   34 STREET,277.83
8 AVENUE,WEST   50 STREET,WEST   51 STREET,260.55
8 AVENUE,WEST   51 STREET,WEST   52 STREET,261.51
8 AVENUE,WEST  111 STREET,WEST  112 STREET,261.14
8 AVENUE,WEST  111 STREET,WEST  112 STREET,261.14
8 AVENUE,WEST  112 STREET,WEST  113 STREET,262.25
8 AVENUE,WEST  112 STREET,WEST  113 STREET,262.25
8 AVENUE,WEST  113 STREET,WEST  114 STREET,261.42
8 AVENUE,WEST  113 STREET,WEST  114 STREET,261.42
8 AVENUE,WEST  114 STREET,WEST  115 STREET,262.01
8 AVENUE,WEST  114 STREET,WEST  115 STREET,262.01
8 AVENUE,WEST  115 STREET,WEST  116 STREET,281.55
8 AVENUE,WEST  115 STREET,WEST  116 STREET,281.55
8 AVENUE,WEST  116 STREET,WEST  117 STREET,282.03
8 AVENUE,WEST  116 STREET,WEST  117 STREET,282.03
8 AVENUE,WEST  117 STREET,WEST  118 STREET,261.74
8 AVENUE,WEST  117 STREET,WEST  118 STREET,261.74
8 AVENUE,WEST  118 STREET,WEST  119 STREET,261.79
