"[422, 423]",258,282,283,263.14
"[422, 424]",258,283,284,254.97
"[422, 424]",258,283,284,254.97
"[425, 426]",258,285,286,260.59
"[425, 426]",258,285,286,260.59
"[426, 427]",258,286,287,130.67
"[428, 429]",258,288,289,240.37
"[427, 429]",258,288,287,157.74
"[428, 430]",258,289,290,257.06
"[428, 430]",258,289,290,257.06
"[430, 431]",258,290,291,242.71
"[430, 431]",258,290,291,242.71
"[431, 432]",258,291,292,251.96
"[432, 433]",258,292,293,283.82
"[434, 435]",294,129,295,426.65
"[434, 435]",294,129,295,426.65
"[436, 434]",294,295,257,278.71
"[436, 434]",294,295,257,278.71
"[437, 436]",294,255,257,798.20
"[437, 436]",294,255,257,798.20
"[438, 439]",296,297,298,227.07
"[438, 439]",296,297,298,227.07
"[439, 440]",296,298,299,250.59
"[439, 440]",296,298,299,250.59
"[440, 441]",296,299,300,246.32
"[440, 441]",296,299,300,246.32
"[441, 442]",296,300,301,249.92
"[441, 442]",296,300,301,249.92
"[442, 443]",296,301,302,246.86
"[442, 443]",296,301,302,246.86
"[444, 445]",296,283,284,259.97
"[446, 447]",296,285,286,260.61
"[447, 448]",296,286,288,290.85
"[448, 449]",296,288,289,239.15
"[449, 450]",296,289,290,254.92
"[450, 451]",296,290,291,245.13
"[452, 453]",303,32,1,272.46
"[452, 453]",303,32,1,272.46
"[453, 454]",303,1,2,252.39
"[453, 454]",303,1,2,252.39
"[454, 455]",303,2,3,251.89
"[454, 455]",303,2,3,251.89
"[455, 456]",303,3,4,254.74
"[455, 456]",303,3,4,254.74
"[456, 457]",303,4,5,241.76
"[456, 457]",303,4,5,241.76
"[457, 458]",303,5,304,254.95
"[457, 458]",303,5,304,254.95
"[458, 459]",303,304,7,247.86
"[458, 459]",303,304,7,247.86
"[459, 460]",303,7,8,243.86
"[459, 460]",303,7,8,243.86
"[460, 461]",303,8,9,250.57
"[460, 461]",303,8,9,250.57
"[461, 462]",303,9,10,266.55
"[461, 462]",303,9,10,266.55
"[462, 463]",303,10,34,266.23
"[462, 463]",303,10,34,266.23
"[464, 463]",303,34,305,287.40
"[465, 466]",306,307,12,482.10
"[467, 468]",306,32,1,272.50
"[467, 468]",306,32,1,272.50
"[467, 469]",306,32,33,130.45
"[468, 470]",306,1,2,252.00
"[468, 470]",306,1,2,252.00
"[470, 471]",306,2,3,252.85
"[470, 471]",306,2,3,252.85
"[472, 471]",306,3,4,255.89
"[473, 472]",306,4,5,240.35
"[473, 474]",306,5,304,254.44
"[473, 474]",306,5,304,254.44
"[474, 475]",306,304,7,248.45
"[474, 475]",306,304,7,248.45
"[475, 476]",306,7,8,246.88
"[475, 476]",306,7,8,246.88
"[476, 477]",306,8,9,247.21
"[476, 477]",306,8,9,247.21
"[477, 478]",306,9,10,259.80
"[477, 478]",306,9,10,259.80
"[479, 478]",306,10,34,271.73
"[479, 480]",306,34,305,296.28
"[479, 480]",306,34,305,296.28
"[481, 480]",306,305,11,285.15
"[466, 481]",306,11,12,267.21
"[482, 483]",308,2,3,253.42
"[482, 483]",308,2,3,253.42
"[484, 482]",308,3,4,255.80
"[484, 482]",308,3,4,255.80
"[485, 484]",308,4,5,240.80
"[485, 484]",308,4,5,240.80
"[486, 485]",308,5,304,255.24
"[486, 485]",308,5,304,255.24
"[487, 486]",308,304,7,247.75
"[487, 486]",308,304,7,247.75
"[488, 487]",308,7,8,246.89
"[488, 487]",308,7,8,246.89
"[489, 488]",308,8,10,512.64
"[489, 490]",308,10,34,267.81
"[489, 490]",308,10,34,267.81
"[490, 491]",308,34,305,283.09
"[490, 491]",308,34,305,283.09
"[492, 493]",309,310,311,450.99
"[494, 495]",309,312,190,190.28
"[496, 497]",309,313,229,222.51
"[497, 498]",309,313,314,475.91
"[495, 492]",309,190,311,445.12
"[499, 500]",315,129,316,509.71
"[499, 500]",315,129,316,509.71
"[500, 501]",315,316,317,429.86
"[500, 501]",315,316,317,429.86
"[502, 503]",315,313,314,231.78
"[502, 503]",315,313,314,231.78
"[504, 501]",315,313,317,231.70
"[504, 501]",315,313,317,231.70
"[502, 505]",315,314,318,338.29
"[506, 507]",319,320,321,262.78
"[506, 507]",319,320,321,262.78
"[508, 509]",319,320,318,44.44
"[510, 511]",319,322,313,71.21
"[512, 510]",319,322,323,180.53
"[513, 514]",319,314,318,16.23
"[513, 514]",319,318,323,16.23
"[515, 516]",324,134,325,360.84
"[515, 516]",324,134,325,360.84
"[517, 516]",324,326,325,470.91
"[518, 519]",327,313,229,177.84
"[518, 519]",327,313,229,177.84
"[520, 521]",327,314,318,440.78
"[522, 523]",328,329,330,660.17
"[522, 523]",328,329,330,660.17
"[524, 525]",331,310,332,156.07
"[524, 525]",331,310,332,156.07
"[526, 524]",331,310,31,122.97
"[526, 524]",331,310,31,122.97
"[526, 524]",331,310,31,122.97
"[525, 527]",331,332,1,282.11
"[525, 527]",331,332,1,282.11
"[528, 529]",331,132,132,381.46
"[528, 529]",331,132,132,381.46
